,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,eydhafushi,95,MV,1569692785,65,83.33,5.1,73.07,3.98
1,banjar,92,ID,1569692785,91,71.63,-7.37,108.54,0.92
2,yellowknife,90,CA,1569692785,80,35.6,62.45,-114.38,6.93
3,maloy,70,ID,1569692786,98,73.07,1.0,118.1,1.72
4,carlsbad,40,CZ,1569692791,87,59.0,50.23,12.87,4.7
5,albany,20,US,1569692707,50,81.0,42.65,-73.75,13.87
6,vaini,75,IN,1569692791,92,74.15,15.34,74.49,2.01
7,bredasdorp,100,ZA,1569692791,72,64.99,-34.53,20.04,11.41
8,port elizabeth,20,US,1569692792,58,87.01,39.31,-74.98,5.82
9,plettenberg bay,100,ZA,1569692792,93,60.11,-34.05,23.37,5.61
10,nyazepetrovsk,21,RU,1569692792,96,25.73,56.06,59.6,5.41
11,cape town,0,ZA,1569692503,64,69.8,-33.93,18.42,11.41
12,rikitea,49,PF,1569692507,82,74.33,-23.12,-134.97,13.78
13,bathsheba,20,BB,1569692792,66,87.8,13.22,-59.52,12.75
14,vestmannaeyjar,0,IS,1569692793,87,50.0,63.44,-20.27,6.93
15,carnarvon,59,ZA,1569692793,9,67.49,-30.97,22.13,11.18
16,tasiilaq,5,GL,1569692793,57,50.0,65.61,-37.64,4.0
17,butaritari,56,KI,1569692793,72,82.61,3.07,172.79,9.24
18,puerto ayora,20,EC,1569692793,57,77.0,-0.74,-90.35,18.34
19,barrow,11,AR,1569692794,52,74.69,-38.31,-60.23,15.79
20,mudgee,0,AU,1569692794,69,43.0,-32.6,149.59,3.36
21,kapaa,40,US,1569692794,83,80.6,22.08,-159.32,10.29
22,mataura,95,NZ,1569692794,77,48.99,-46.19,168.86,8.99
23,atherton,14,AU,1569692794,82,68.0,-17.27,145.48,8.05
24,mar del plata,0,AR,1569692795,30,66.23,-46.43,-67.52,28.34
25,pedernales,100,EC,1569692795,86,74.33,0.07,-80.05,13.87
26,hay river,75,CA,1569692816,60,41.0,60.82,-115.79,5.82
27,upernavik,0,GL,1569692816,64,40.31,72.79,-56.15,3.22
28,lompoc,75,US,1569692817,82,73.0,34.64,-120.46,15.37
29,chokurdakh,100,RU,1569692817,96,26.45,70.62,147.9,3.42
30,tuktoyaktuk,75,CA,1569692818,78,32.0,69.44,-133.03,3.36
31,omboue,100,GA,1569692818,84,77.21,-1.57,9.26,12.68
32,port alfred,95,ZA,1569692818,90,66.99,-33.59,26.89,1.01
33,tiksi,82,RU,1569692818,91,26.99,71.64,128.87,6.93
34,bluff,55,AU,1569692819,85,62.45,-23.58,149.07,2.24
35,punta arenas,75,CL,1569692819,76,51.8,-53.16,-70.91,8.05
36,cherskiy,100,RU,1569692819,97,31.13,68.75,161.3,8.5
37,manaus,75,BR,1569692819,74,84.2,-3.13,-59.98,4.7
38,cockburn town,40,TC,1569692576,66,87.8,21.46,-71.14,4.7
39,ushuaia,75,AR,1569692620,46,53.6,-54.81,-68.31,10.29
40,arraial do cabo,75,BR,1569692821,73,75.2,-22.97,-42.02,13.87
41,natal,40,BR,1569692821,62,86.0,-5.81,-35.21,12.75
42,hermanus,100,ZA,1569692821,81,69.01,-34.42,19.24,10.0
43,klaksvik,100,FO,1569692821,71,53.6,62.23,-6.59,4.7
44,evanston,90,US,1569692530,77,62.01,42.04,-87.69,11.41
45,nikolskoye,40,RU,1569692822,87,48.0,59.7,30.79,6.71
46,avarua,66,CK,1569692577,88,69.8,-21.21,-159.78,1.12
47,new norfolk,40,AU,1569692822,61,50.0,-42.78,147.06,10.29
48,victoria,75,BN,1569692688,88,78.8,5.28,115.24,2.66
49,belaya gora,37,RU,1569692822,94,23.39,68.54,146.19,1.14
50,petropavlovsk-kamchatskiy,60,RU,1569692823,76,32.0,53.05,158.65,8.95
51,kirovskiy,0,RU,1569692823,93,56.15,45.09,133.51,5.59
52,jizan,56,SA,1569692823,67,89.45,16.89,42.56,2.48
53,nouadhibou,0,MR,1569692823,64,75.2,20.93,-17.03,20.8
54,srednekolymsk,92,RU,1569692824,95,23.93,67.46,153.71,6.51
55,flinders,90,AU,1569692824,81,54.0,-34.58,150.85,3.36
56,karaton,20,ID,1569692824,74,80.6,-6.34,106.1,4.7
57,sorland,75,NO,1569692824,87,48.2,67.67,12.69,6.93
58,gamba,99,CN,1569692825,69,37.25,28.28,88.52,6.26
59,saskylakh,39,RU,1569692825,90,25.01,71.97,114.09,6.53
60,arlit,0,NE,1569692825,7,101.15,18.74,7.39,12.55
61,mana,0,NG,1569692825,36,91.07,13.03,5.27,5.66
62,nalut,0,LY,1569692826,34,78.47,31.86,10.98,9.24
63,budogoshch,61,RU,1569692826,97,43.55,59.29,32.45,5.41
64,cabo san lucas,40,MX,1569692811,65,89.01,22.89,-109.91,4.7
65,kavieng,18,PG,1569692826,72,82.61,-2.57,150.8,3.27
66,na wa,3,TH,1569692826,77,71.63,17.49,104.1,3.78
67,haines junction,18,CA,1569692826,40,34.19,60.75,-137.51,3.29
68,port blair,1,IN,1569692827,81,82.25,11.67,92.75,7.94
69,beringovskiy,15,RU,1569692827,97,35.09,63.05,179.32,1.97
70,whitianga,17,NZ,1569692827,96,45.0,-36.83,175.7,5.66
71,amot,99,NO,1569692828,97,38.15,59.57,7.99,4.61
72,nhulunbuy,100,AU,1569692828,94,68.0,-12.18,136.78,6.93
73,tarakan,5,ID,1569692828,88,78.29,3.3,117.63,5.1
